protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,traffic,invalidations,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
Mesi,blackscholes_four.zip,4096,1,32,376883475,8340344,1659657,7513362,0.75,2486639,0.25,129396912,1011880,4994697,321314084,10430314,308386420,2497349,1489888,1007461,1879185,0.75,618164,0.25,4980935,362038676,10383276,349164931,2490468,1485857,1004611,1874312,0.75,616156,0.25,5018113,376883475,10430338,363944079,2509057,1492629,1016428,1876862,0.75,632195,0.25,5006253,258809050,10394904,245911018,2503127,1493736,1009391,1883003,0.75,620124,0.25
Mesi,blackscholes_four.zip,4096,2,32,99924753,8258776,1741225,9050684,0.91,949317,0.09,41510428,178289,4994697,97016758,10430314,84089094,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96291299,10383276,83417554,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99924753,10430338,86985357,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97111663,10394904,84213631,2503127,1493736,1009391,2268620,0.91,234507,0.09
Mesi,blackscholes_four.zip,4096,128,32,23308884,8142779,1857222,9848829,0.98,151172,0.02,5761812,25431,4994697,20142982,10430314,7215318,2497349,1489888,1007461,2463085,0.99,34264,0.01,4980935,19242165,10383276,6368420,2490468,1485857,1004611,2457852,0.99,32616,0.01,5018113,23308884,10430338,10369488,2509057,1492629,1016428,2459287,0.98,49770,0.02,5006253,20105631,10394904,7207599,2503127,1493736,1009391,2468605,0.99,34522,0.01
Mesi,bodytrack_four.zip,4096,1,32,204043620,9024225,975776,8400623,0.84,1599378,0.16,68536408,413415,6540263,204021861,17729254,183022474,3270132,2380720,889412,2745920,0.84,524212,0.16,6574503,203984228,17120545,183576430,3287252,2388005,899247,2771035,0.84,516217,0.16,235395,30039247,17556877,12364671,117698,74523,43175,92921,0.79,24777,0.21,6649837,204043620,17140113,183578587,3324919,2416052,908867,2790747,0.84,534172,0.16
Mesi,bodytrack_four.zip,4096,2,32,171736287,9329525,670476,8664327,0.87,1335674,0.13,56596596,318073,6540263,167994498,17729254,146995111,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171736287,17120545,151328489,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28182497,17556877,10507921,117698,74523,43175,96646,0.82,21052,0.18,6649837,168867869,17140113,148402836,3324919,2416052,908867,2882694,0.87,442225,0.13
Mesi,bodytrack_four.zip,4096,128,32,140815819,8695431,1304570,8882636,0.89,1117365,0.11,45933988,246858,6540263,137173142,17729254,116173755,3270132,2380720,889412,2911268,0.89,358864,0.11,6574503,140815819,17120545,120408021,3287252,2388005,899247,2915822,0.89,371430,0.11,235395,27787098,17556877,10112522,117698,74523,43175,98075,0.83,19623,0.17,6649837,137367788,17140113,116902755,3324919,2416052,908867,2957471,0.89,367448,0.11
Mesi,fluidanimate_four.zip,4096,1,32,368052031,8884935,1115066,7646170,0.76,2353831,0.24,117387620,1106032,5153005,322295059,11337782,308380773,2576503,1832392,744111,1961589,0.76,614914,0.24,4815687,355950086,11290799,342251442,2407844,1821846,585998,1862007,0.77,545837,0.23,5208377,368052031,11337671,354110170,2604189,1838008,766181,1954888,0.75,649301,0.25,4822929,250842628,11301515,237129647,2411465,1832174,579291,1867686,0.77,543779,0.23
Mesi,fluidanimate_four.zip,4096,2,32,330892705,8816555,1183446,7925217,0.79,2074784,0.21,104906648,1035854,5153005,330892705,11337782,316978419,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,320621199,11290799,306922555,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,302691844,11337671,288749983,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236825273,11301515,223112292,2411465,1832174,579291,1930512,0.8,480953,0.2
Mesi,fluidanimate_four.zip,4096,128,32,318762036,8763298,1236703,8023267,0.8,1976734,0.2,100359816,1011265,5153005,318762036,11337782,304847750,2576503,1832392,744111,2060300,0.8,516203,0.2,4815687,307874765,11290799,294176121,2407844,1821846,585998,1945965,0.81,461879,0.19,5208377,294055828,11337671,280113967,2604189,1838008,766181,2062949,0.79,541240,0.21,4822929,232515005,11301515,218802024,2411465,1832174,579291,1954053,0.81,457412,0.19
Dragon,blackscholes_four.zip,4096,1,32,376106559,8334524,1665445,7513362,0.75,2486639,0.25,129401012,301,4994697,321295617,10430314,308367953,2497349,1489888,1007461,1879185,0.75,618164,0.25,4980935,376106559,10383276,363232814,2490468,1485857,1004611,1874312,0.75,616156,0.25,5018113,366282903,10430338,353343507,2509057,1492629,1016428,1876862,0.75,632195,0.25,5006253,258798109,10394904,245900077,2503127,1493736,1009391,1883003,0.75,620124,0.25
Dragon,blackscholes_four.zip,4096,2,32,99659067,8255627,1744349,9050684,0.91,949317,0.09,41512408,438,4994697,96786743,10430314,83859079,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,95990967,10383276,83117222,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99659067,10430338,86719671,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,96863056,10394904,83965024,2503127,1493736,1009391,2268620,0.91,234507,0.09
Dragon,blackscholes_four.zip,4096,128,32,23219489,8141268,1858728,9848829,0.98,151172,0.02,5761796,105,4994697,19970288,10430314,7042624,2497349,1489888,1007461,2463085,0.99,34264,0.01,4980935,19112784,10383276,6239039,2490468,1485857,1004611,2457852,0.99,32616,0.01,5018113,23219489,10430338,10280093,2509057,1492629,1016428,2459287,0.98,49770,0.02,5006253,19907064,10394904,7009032,2503127,1493736,1009391,2468605,0.99,34522,0.01
Dragon,bodytrack_four.zip,4096,1,32,203948262,9022272,977628,8400623,0.84,1599378,0.16,68544084,893,6540263,203937720,17729254,182938333,3270132,2380720,889412,2745920,0.84,524212,0.16,6574503,203882871,17120545,183475073,3287252,2388005,899247,2771035,0.84,516217,0.16,235395,30020267,17556877,12345691,117698,74523,43175,92921,0.79,24777,0.21,6649837,203948262,17140113,183483229,3324919,2416052,908867,2790747,0.84,534172,0.16
Dragon,bodytrack_four.zip,4096,2,32,171643531,9319685,680211,8664327,0.87,1335674,0.13,56607940,881,6540263,167862298,17729254,146862911,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171643531,17120545,151235733,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28165893,17556877,10491317,117698,74523,43175,96646,0.82,21052,0.18,6649837,168775533,17140113,148310500,3324919,2416052,908867,2882694,0.87,442225,0.13
Dragon,bodytrack_four.zip,4096,128,32,141792820,9034414,965495,8882636,0.89,1117365,0.11,45967964,1103,6540263,138298185,17729254,117298798,3270132,2380720,889412,2911268,0.89,358864,0.11,6574503,141792820,17120545,121385022,3287252,2388005,899247,2915822,0.89,371430,0.11,235395,27735339,17556877,10060763,117698,74523,43175,98075,0.83,19623,0.17,6649837,138653415,17140113,118188382,3324919,2416052,908867,2957471,0.89,367448,0.11
Dragon,fluidanimate_four.zip,4096,1,32,365440204,8799894,1200071,7646170,0.76,2353831,0.24,117399008,680,5153005,365440204,11337782,351525918,2576503,1832392,744111,1961589,0.76,614914,0.24,4815687,362368049,11290799,348669405,2407844,1821846,585998,1862007,0.77,545837,0.23,5208377,331563317,11337671,317621456,2604189,1838008,766181,1954888,0.75,649301,0.25,4822929,250796135,11301515,237083154,2411465,1832174,579291,1867686,0.77,543779,0.23
Dragon,fluidanimate_four.zip,4096,2,32,328687669,8845350,1154614,7925217,0.79,2074784,0.21,104925564,679,5153005,328687669,11337782,314773383,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,282183287,11290799,268484643,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,328544615,11337671,314602754,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236796843,11301515,223083862,2411465,1832174,579291,1930512,0.8,480953,0.2
Dragon,fluidanimate_four.zip,4096,128,32,319843796,8840868,1159118,8023267,0.8,1976734,0.2,100372560,732,5153005,286671827,11337782,272757541,2576503,1832392,744111,2060300,0.8,516203,0.2,4815687,306464158,11290799,292765514,2407844,1821846,585998,1945965,0.81,461879,0.19,5208377,319843796,11337671,305901935,2604189,1838008,766181,2062949,0.79,541240,0.21,4822929,232515814,11301515,218802833,2411465,1832174,579291,1954053,0.81,457412,0.19
Mesi (advanced),blackscholes_four.zip,4096,1,32,375991806,8332128,1667873,7513362,0.75,2486639,0.25,129397648,1011921,4994697,375991806,10430314,363064142,2497349,1489888,1007461,1879185,0.75,618164,0.25,4980935,320797799,10383276,307924054,2490468,1485857,1004611,1874312,0.75,616156,0.25,5018113,365905028,10430338,352965632,2509057,1492629,1016428,1876862,0.75,632195,0.25,5006253,258801978,10394904,245903946,2503127,1493736,1009391,1883003,0.75,620124,0.25
