protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
Mesi,blackscholes_four.zip,4096,2,16,87752842,8206819,1793182,9144776,0.91,855225,0.09,4994697,85008867,10430314,72081203,2497349,1489888,1007461,2286965,0.92,210384,0.08,4980935,84140779,10383276,71267034,2490468,1485857,1004611,2281931,0.92,208537,0.08,5018113,87752842,10430338,74813446,2509057,1492629,1016428,2283661,0.91,225396,0.09,5006253,85048272,10394904,72150240,2503127,1493736,1009391,2292219,0.92,210908,0.08
Mesi,blackscholes_four.zip,4096,2,32,99924753,8258776,1741225,9050684,0.91,949317,0.09,4994697,97016758,10430314,84089094,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96291299,10383276,83417554,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99924753,10430338,86985357,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97111663,10394904,84213631,2503127,1493736,1009391,2268620,0.91,234507,0.09
Mesi,blackscholes_four.zip,4096,2,64,108195635,8306017,1693984,9084615,0.91,915386,0.09,4994697,106326137,10430314,93398473,2497349,1489888,1007461,2270673,0.91,226676,0.09,4980935,105815175,10383276,92941430,2490468,1485857,1004611,2264885,0.91,225583,0.09,5018113,108195635,10430338,95256239,2509057,1492629,1016428,2273416,0.91,235641,0.09,5006253,106441108,10394904,93543076,2503127,1493736,1009391,2275641,0.91,227486,0.09
Mesi,bodytrack_four.zip,4096,2,16,223000225,9227744,772257,8314367,0.83,1685634,0.17,6540263,218822953,17729254,197823566,3270132,2380720,889412,2726713,0.83,543419,0.17,6574503,223000225,17120545,202592427,3287252,2388005,899247,2729195,0.83,558057,0.17,235395,30960069,17556877,13285493,117698,74523,43175,91705,0.78,25993,0.22,6649837,220718887,17140113,200253854,3324919,2416052,908867,2766754,0.83,558165,0.17
Mesi,bodytrack_four.zip,4096,2,32,171736287,9329525,670476,8664327,0.87,1335674,0.13,6540263,167994498,17729254,146995111,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171736287,17120545,151328489,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28182497,17556877,10507921,117698,74523,43175,96646,0.82,21052,0.18,6649837,168867869,17140113,148402836,3324919,2416052,908867,2882694,0.87,442225,0.13
Mesi,bodytrack_four.zip,4096,2,64,132291269,8969516,1030485,8917296,0.89,1082705,0.11,6540263,129079834,17729254,108080447,3270132,2380720,889412,2920843,0.89,349289,0.11,6574503,132291269,17120545,111883471,3287252,2388005,899247,2929246,0.89,358006,0.11,235395,25274265,17556877,7599689,117698,74523,43175,101108,0.86,16590,0.14,6649837,130000270,17140113,109535237,3324919,2416052,908867,2966099,0.89,358820,0.11
Mesi,fluidanimate_four.zip,4096,2,16,415962213,8773723,1226278,7281787,0.73,2718214,0.27,5153005,415962213,11337782,402047927,2576503,1832392,744111,1872120,0.73,704383,0.27,4815687,344696440,11290799,330997796,2407844,1821846,585998,1765576,0.73,642268,0.27,5208377,399128517,11337671,385186656,2604189,1838008,766181,1872729,0.72,731460,0.28,4822929,272551263,11301515,258838282,2411465,1832174,579291,1771362,0.73,640103,0.27
Mesi,fluidanimate_four.zip,4096,2,32,330892705,8816555,1183446,7925217,0.79,2074784,0.21,5153005,330892705,11337782,316978419,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,320621199,11290799,306922555,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,302691844,11337671,288749983,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236825273,11301515,223112292,2411465,1832174,579291,1930512,0.8,480953,0.2
Mesi,fluidanimate_four.zip,4096,2,64,201374302,8622959,1377042,8681726,0.87,1318275,0.13,5153005,195029934,11337782,181115648,2576503,1832392,744111,2225993,0.86,350510,0.14,4815687,184991130,11290799,171292486,2407844,1821846,585998,2105547,0.87,302297,0.13,5208377,201374302,11337671,187432441,2604189,1838008,766181,2237813,0.86,366376,0.14,4822929,180705571,11301515,166992590,2411465,1832174,579291,2112373,0.88,299092,0.12
Dragon,blackscholes_four.zip,4096,2,16,87680686,8205115,1794850,9144776,0.91,855225,0.09,4994697,84765419,10430314,71837755,2497349,1489888,1007461,2286965,0.92,210384,0.08,4980935,84138843,10383276,71265098,2490468,1485857,1004611,2281931,0.92,208537,0.08,5018113,87680686,10430338,74741290,2509057,1492629,1016428,2283661,0.91,225396,0.09,5006253,84979189,10394904,72081157,2503127,1493736,1009391,2292219,0.92,210908,0.08
