protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,traffic,invalidations,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
Mesi,blackscholes_four.zip,1024,2,32,770549029,9082214,917787,4683309,0.47,5316692,0.53,261146344,1956886,4994697,657493570,10430314,644565906,2497349,1489888,1007461,1172126,0.47,1325223,0.53,4980935,767869013,10383276,754995268,2490468,1485857,1004611,1167689,0.47,1322779,0.53,5018113,770549029,10430338,757609633,2509057,1492629,1016428,1170182,0.47,1338875,0.53,5006253,659132524,10394904,646234492,2503127,1493736,1009391,1173312,0.47,1329815,0.53
Mesi,blackscholes_four.zip,4096,2,32,99924753,8258776,1741225,9050684,0.91,949317,0.09,41510428,178289,4994697,97016758,10430314,84089094,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96291299,10383276,83417554,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99924753,10430338,86985357,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97111663,10394904,84213631,2503127,1493736,1009391,2268620,0.91,234507,0.09
Mesi,blackscholes_four.zip,8192,2,32,47283985,8161590,1838411,9561860,0.96,438141,0.04,18409520,58295,4994697,44360256,10430314,31432592,2497349,1489888,1007461,2390847,0.96,106502,0.04,4980935,43621560,10383276,30747815,2490468,1485857,1004611,2385804,0.96,104664,0.04,5018113,47283985,10430338,34344589,2509057,1492629,1016428,2388390,0.95,120667,0.05,5006253,44315868,10394904,31417836,2503127,1493736,1009391,2396819,0.96,106308,0.04
Mesi,bodytrack_four.zip,1024,2,32,372038673,9146455,853546,7228965,0.72,2771036,0.28,124993172,773835,6540263,365011805,17729254,344012418,3270132,2380720,889412,2378869,0.73,891263,0.27,6574503,371236418,17120545,350828620,3287252,2388005,899247,2380904,0.72,906348,0.28,235395,40867895,17556877,23193319,117698,74523,43175,69658,0.59,48040,0.41,6649837,372038673,17140113,351573640,3324919,2416052,908867,2399534,0.72,925385,0.28
Mesi,bodytrack_four.zip,4096,2,32,171736287,9329525,670476,8664327,0.87,1335674,0.13,56596596,318073,6540263,167994498,17729254,146995111,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171736287,17120545,151328489,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28182497,17556877,10507921,117698,74523,43175,96646,0.82,21052,0.18,6649837,168867869,17140113,148402836,3324919,2416052,908867,2882694,0.87,442225,0.13
Mesi,bodytrack_four.zip,8192,2,32,123068374,8071130,1928871,9001018,0.9,998983,0.1,41273504,231389,6540263,121201703,17729254,100202316,3270132,2380720,889412,2943833,0.9,326299,0.1,6574503,123068374,17120545,102660576,3287252,2388005,899247,2957737,0.9,329515,0.1,235395,26460425,17556877,8785849,117698,74523,43175,99909,0.85,17789,0.15,6649837,119484155,17140113,99019122,3324919,2416052,908867,2999539,0.9,325380,0.1
Mesi,fluidanimate_four.zip,1024,2,32,480325054,9006430,993571,6727339,0.67,3272662,0.33,154498416,1268563,5153005,480325054,11337782,466410768,2576503,1832392,744111,1684663,0.65,891840,0.35,4815687,404035511,11290799,390336867,2407844,1821846,585998,1674586,0.7,733258,0.3,5208377,414487450,11337671,400545589,2604189,1838008,766181,1683177,0.65,921012,0.35,4822929,286342169,11301515,272629188,2411465,1832174,579291,1684913,0.7,726552,0.3
Mesi,fluidanimate_four.zip,4096,2,32,330892705,8816555,1183446,7925217,0.79,2074784,0.21,104906648,1035854,5153005,330892705,11337782,316978419,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,320621199,11290799,306922555,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,302691844,11337671,288749983,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236825273,11301515,223112292,2411465,1832174,579291,1930512,0.8,480953,0.2
Mesi,fluidanimate_four.zip,8192,2,32,292580079,8760098,1239903,8281957,0.83,1718044,0.17,91506228,1004679,5153005,264654214,11337782,250739928,2576503,1832392,744111,2128041,0.83,448462,0.17,4815687,279712244,11290799,266013600,2407844,1821846,585998,2009763,0.83,398081,0.17,5208377,292580079,11337671,278638218,2604189,1838008,766181,2127566,0.82,476623,0.18,4822929,221081779,11301515,207368798,2411465,1832174,579291,2016587,0.84,394878,0.16
Dragon,blackscholes_four.zip,1024,2,32,775382399,9146972,852993,4683309,0.47,5316692,0.53,261145600,137,4994697,660651394,10430314,647723730,2497349,1489888,1007461,1172126,0.47,1325223,0.53,4980935,772789978,10383276,759916233,2490468,1485857,1004611,1167689,0.47,1322779,0.53,5018113,775382399,10430338,762443003,2509057,1492629,1016428,1170182,0.47,1338875,0.53,5006253,662328985,10394904,649430953,2503127,1493736,1009391,1173312,0.47,1329815,0.53
Dragon,blackscholes_four.zip,4096,2,32,99779971,8253418,1746431,9050684,0.91,949317,0.09,41510784,1959,4994697,97033243,10430314,84105579,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96243859,10383276,83370114,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99779971,10430338,86840575,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97076847,10394904,84178815,2503127,1493736,1009391,2268620,0.91,234507,0.09
Dragon,blackscholes_four.zip,8192,2,32,47289512,8154395,1845424,9561860,0.96,438141,0.04,18416140,3737,4994697,44411744,10430314,31484080,2497349,1489888,1007461,2390847,0.96,106502,0.04,4980935,43788272,10383276,30914527,2490468,1485857,1004611,2385804,0.96,104664,0.04,5018113,47289512,10430338,34350116,2509057,1492629,1016428,2388390,0.95,120667,0.05,5006253,44378844,10394904,31480812,2503127,1493736,1009391,2396819,0.96,106308,0.04
