protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
mesi,blackscholes_10.zip,16,1,4,2736,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2736,72,2658,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2635,50,2579,5,0,5,0,0.0,5,1.0
mesi,blackscholes_10.zip,16,2,4,2558,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2558,72,2480,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2231,50,2175,5,0,5,0,0.0,5,1.0
mesi,blackscholes_10.zip,16,4,4,2130,20,0,1,0.05,19,0.95,10,1960,134,1820,5,4,1,0,0.0,5,1.0,10,2130,72,2052,5,0,5,0,0.0,5,1.0,10,1374,195,1173,5,4,1,1,0.2,4,0.8,10,2029,50,1973,5,0,5,0,0.0,5,1.0
mesi,blackscholes_10.zip,32,1,4,2736,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2736,72,2658,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2635,50,2579,5,0,5,0,0.0,5,1.0
mesi,blackscholes_10.zip,32,2,4,2558,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2558,72,2480,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2231,50,2175,5,0,5,0,0.0,5,1.0
mesi,blackscholes_10.zip,32,4,4,2130,20,0,1,0.05,19,0.95,10,1960,134,1820,5,4,1,0,0.0,5,1.0,10,2130,72,2052,5,0,5,0,0.0,5,1.0,10,1374,195,1173,5,4,1,1,0.2,4,0.8,10,2029,50,1973,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,16,1,4,2736,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2736,72,2658,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2635,50,2579,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,16,2,4,2558,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2558,72,2480,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2231,50,2175,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,16,4,4,2130,20,0,1,0.05,19,0.95,10,1960,134,1820,5,4,1,0,0.0,5,1.0,10,2130,72,2052,5,0,5,0,0.0,5,1.0,10,1374,195,1173,5,4,1,1,0.2,4,0.8,10,2029,50,1973,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,32,1,4,2736,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2736,72,2658,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2635,50,2579,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,32,2,4,2558,20,0,1,0.05,19,0.95,10,2061,134,1921,5,4,1,0,0.0,5,1.0,10,2558,72,2480,5,0,5,0,0.0,5,1.0,10,1475,195,1274,5,4,1,1,0.2,4,0.8,10,2231,50,2175,5,0,5,0,0.0,5,1.0
dragon,blackscholes_10.zip,32,4,4,2130,20,0,1,0.05,19,0.95,10,1960,134,1820,5,4,1,0,0.0,5,1.0,10,2130,72,2052,5,0,5,0,0.0,5,1.0,10,1374,195,1173,5,4,1,1,0.2,4,0.8,10,2029,50,1973,5,0,5,0,0.0,5,1.0
